Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2020-01-02,2020,1,2,Thursday,00,2020-00,294.06,294.58,291.0,291.49,2103600,277.18,-0.008267402769820742,279.615,283.0014
2020-01-03,2020,1,3,Friday,00,2020-00,290.05,292.9,289.33,291.73,1926000,277.41,0.0008232059296369165,279.23357142857145,282.857
2020-01-06,2020,1,6,Monday,01,2020-01,290.55,292.07,288.62,291.81,2655100,277.49,0.00027435961945632137,279.2292857142857,282.7644
2020-01-07,2020,1,7,Tuesday,01,2020-01,291.32,291.69,289.28,291.35,1963400,277.05,-0.0015764202546797446,279.08285714285716,282.6682
2020-01-08,2020,1,8,Wednesday,01,2020-01,290.99,295.48,290.5,294.69,2492800,280.23,0.011464000504933791,279.0242857142858,282.64599999999996
2020-01-09,2020,1,9,Thursday,01,2020-01,298.55,301.96,297.71,299.42,3261200,284.73,0.016050541388864525,279.5371428571429,282.6676
2020-01-10,2020,1,10,Friday,01,2020-01,300.0,300.27,296.66,297.24,2024200,282.65,-0.007280909782528822,279.77642857142854,282.706
2020-01-13,2020,1,13,Monday,02,2020-02,296.92,300.65,296.8,299.87,1778600,285.15,0.008848246610756227,280.11857142857144,282.7188
2020-01-14,2020,1,14,Tuesday,02,2020-02,299.25,301.0,298.58,299.75,1459900,285.04,-0.000400047089544997,280.5557142857143,282.769
2020-01-15,2020,1,15,Wednesday,02,2020-02,298.35,301.04,298.04,300.82,1604000,286.06,0.0035695312351113895,281.00357142857143,282.85900000000004
2020-01-16,2020,1,16,Thursday,02,2020-02,301.39,304.06,300.98,303.03,1758600,288.16,0.007346667232801529,281.49928571428575,282.97720000000004
2020-01-17,2020,1,17,Friday,02,2020-02,303.4,305.3,303.03,304.68,2506500,289.73,0.0054450335858617915,282.2171428571429,283.0818
2020-01-21,2020,1,21,Tuesday,03,2020-03,306.2,313.34,305.76,313.26,3585900,297.89,0.028160648340281647,283.4478571428571,283.3042
2020-01-22,2020,1,22,Wednesday,03,2020-03,313.4,313.56,310.21,311.89,2218900,296.58,-0.004373263712985742,284.66785714285714,283.4312
2020-01-23,2020,1,23,Thursday,03,2020-03,312.02,313.4,310.73,312.88,1535900,297.52,0.003173759418046762,286.1207142857143,283.6262
2020-01-24,2020,1,24,Friday,03,2020-03,314.02,314.28,309.1,310.51,1986100,295.27,-0.007574502627730628,287.39642857142854,283.81
2020-01-27,2020,1,27,Monday,04,2020-04,306.15,311.77,305.65,309.45,2265100,294.26,-0.0034136945282390307,288.5942857142857,283.9802
2020-01-28,2020,1,28,Tuesday,04,2020-04,310.51,311.71,309.1,310.85,1571700,295.59,0.004524075511396886,289.9185714285714,284.13140000000004
